"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00001",,"#",51,,,"#P00001"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00218",,"#",80,,,"#P00218"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00131",,"#",65,,,"#P00131"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00036",,"#",54,,,"#P00036"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00358",,"#",53,,,"#P00358"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00259",,"#",60,,,"#P00259"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00301",,"#",79,,,"#P00301"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00343",,"#",0,D,,"#P00343"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00317",,"#",76,,,"#P00317"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00053",,"#",47,,,"#P00053"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00208",,"#",53,,,"#P00208"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00192",,"#",0,D,,"#P00192"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00203",,"#",90,,,"#P00203"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00319",,"#",54,,,"#P00319"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00235",,"#",91,,,"#P00235"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00213",,"#",65,,,"#P00213"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00201",,"#",40,,,"#P00201"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00230",,"#",65,,,"#P00230"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00338",,"#",53,,,"#P00338"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00285",,"#",45,,,"#P00285"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00088",,"#",76,,,"#P00088"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00279",,"#",52,,,"#P00279"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00188",,"#",58,,,"#P00188"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00323",,"#",72,,,"#P00323"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00004",,"#",77,,,"#P00004"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00093",,"#",42,,,"#P00093"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00127",,"#",67,,,"#P00127"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00194",,"#",72,,,"#P00194"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00309",,"#",71,,,"#P00309"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00155",,"#",68,,,"#P00155"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00292",,"#",58,,,"#P00292"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00240",,"#",60,,,"#P00240"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00071",,"#",61,,,"#P00071"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00304",,"#",68,,,"#P00304"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00109",,"#",0,D,,"#P00109"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00099",,"#",63,,,"#P00099"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00161",,"#",72,,,"#P00161"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00067",,"#",67,,,"#P00067"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00044",,"#",45,,,"#P00044"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00031",,"#",43,,,"#P00031"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00314",,"#",0,AB,,"#P00314"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00119",,"#",75,,,"#P00119"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00114",,"#",51,,,"#P00114"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00136",,"#",82,,,"#P00136"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00095",,"#",71,,,"#P00095"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00024",,"#",57,,,"#P00024"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00079",,"#",63,,,"#P00079"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00263",,"#",72,,,"#P00263"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00142",,"#",86,,,"#P00142"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00176",,"#",55,,,"#P00176"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00083",,"#",80,,,"#P00083"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00244",,"#",72,,,"#P00244"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00270",,"#",57,,,"#P00270"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00268",,"#",74,,,"#P00268"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00172",,"#",84,,,"#P00172"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00028",,"#",60,,,"#P00028"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00349",,"#",65,,,"#P00349"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00069",,"#",78,,,"#P00069"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00345",,"#",70,,,"#P00345"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00076",,"#",70,,,"#P00076"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00252",,"#",51,,,"#P00252"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00331",,"#",77,,,"#P00331"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00256",,"#",63,,,"#P00256"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00159",,"#",75,,,"#P00159"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00275",,"#",62,,,"#P00275"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00056",,"#",73,,,"#P00056"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00354",,"#",55,,,"#P00354"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00074",,"#",68,,,"#P00074"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00334",,"#",50,,,"#P00334"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00283",,"#",64,,,"#P00283"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00183",,"#",69,,,"#P00183"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00289",,"#",49,,,"#P00289"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00296",,"#",87,,,"#P00296"
"2012/3","SEM1","#4CCS1CS1",1,"#4CCS1CS1MR1","#001","#P00138",,"#",75,,,"#P00138"
