"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00001",,"#",66,,,"#P00001"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00218",,"#",80,,,"#P00218"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00131",,"#",67,,,"#P00131"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00036",,"#",44,,,"#P00036"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00358",,"#",51,,,"#P00358"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00259",,"#",62,,,"#P00259"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00301",,"#",89,,,"#P00301"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00343",,"#",0,AB,,"#P00343"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00317",,"#",65,,,"#P00317"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00053",,"#",39,,,"#P00053"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00208",,"#",54,,,"#P00208"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00192",,"#",58,,,"#P00192"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00203",,"#",71,,,"#P00203"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00319",,"#",53,,,"#P00319"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00235",,"#",91,,,"#P00235"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00213",,"#",54,,,"#P00213"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00201",,"#",50,,,"#P00201"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00230",,"#",71,,,"#P00230"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00338",,"#",66,,,"#P00338"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00285",,"#",42,,,"#P00285"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00088",,"#",67,,,"#P00088"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00279",,"#",51,,,"#P00279"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00188",,"#",63,,,"#P00188"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00323",,"#",55,,,"#P00323"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00004",,"#",63,,,"#P00004"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00093",,"#",47,,,"#P00093"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00127",,"#",79,,,"#P00127"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00194",,"#",68,,,"#P00194"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00309",,"#",59,,,"#P00309"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00155",,"#",68,,,"#P00155"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00292",,"#",57,,,"#P00292"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00240",,"#",47,,,"#P00240"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00071",,"#",59,,,"#P00071"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00304",,"#",61,,,"#P00304"
"2012/3","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#001","#P00109",,"#",70,,,"#P00109"
