"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#17/1","Theodore Dyke Acland","#",58,,,"#17/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#34/1","Denis Alexander","#",73,,,"#34/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#37/1","John Romilly Allen","#",0,AB,,"#37/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#48/1","Robert Allison","#",51,,,"#48/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#62/1","Ali Ansari","#",54,,,"#62/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#74/1","Francis Anstie","#",46,,,"#74/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#81/1","Norman Ashton","#",78,,,"#81/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#91/1","Harold Balme","#",58,,,"#91/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#94/1","Kenneth Barker","#",75,,,"#94/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#104/1","Eric Barnard","#",43,,,"#104/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#106/1","Simon Baron-Cohen","#",53,,,"#106/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#113/1","James Barrett","#",55,,,"#113/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#116/1","George Barrow","#",80,,,"#116/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#133/1","Angus John Bateman","#",53,,,"#133/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#144/1","Evan Buchanan Baxter","#",84,,,"#144/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#154/1","Lionel Smith Beale","#",60,,,"#154/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#164/1","Raymond Beazley","#",58,,,"#164/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#169/1","Helen Beebee","#",70,,,"#169/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#178/1","David Bellamy","#",62,,,"#178/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#198/1","Robert Lubbock Bensly","#",35,,,"#198/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#200/1","Robert Bentley","#",66,,,"#200/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#212/1","Dinesh Bhugra","#",39,,,"#212/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#231/1","Jo Boaler","#",70,,,"#231/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#247/1","Brian Bond","#",62,,,"#247/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#262/1","John Eddowes Bowman","#",58,,,"#262/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#277/1","William Bowman","#",45,,,"#277/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#280/1","Harry Brighouse","#",84,,,"#280/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#282/1","Peter Brinsden","#",70,,,"#282/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#294/1","Henry William Bristow","#",72,,,"#294/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#300/1","William Brinton","#",57,,,"#300/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#316/1","Hilda Margaret Bruce","#",64,,,"#316/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#333/1","Ronald Burge","#",56,,,"#333/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#336/1","Michael Burgess","#",58,,,"#336/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#354/1","Arthur Coke Burnell","#",62,,,"#354/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#355/1","Elizabeth Burns","#",82,,,"#355/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#366/1","Geoffrey Burnstock","#",61,,,"#366/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#376/1","John Cadogan","#",65,,,"#376/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#379/1","Robert Townley Caldwell","#",67,,,"#379/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#393/1","Leigh Canham","#",49,,,"#393/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#399/1","Thomas Cavalier-Smith","#",48,,,"#399/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#419/1","Qui-Lim Choo","#",77,,,"#419/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#423/1","Arthur Herbert Church","#",74,,,"#423/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#435/1","Alfred John Church","#",41,,,"#435/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#452/1","Suzannah Clark","#",79,,,"#452/1"
"2012/3","SEM2","#4CCS1PRA",1,"#4CCS1PRAMR1","#002","#467/1","Jill Macleod Clark","#",69,,,"#467/1"
