"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#979/1","Qasim Jan","#",0,AB,,"#979/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#993/1","Alwyn Jones","#",50,,,"#993/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1006/1","Janet Kear","#",63,,,"#1006/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1025/1","David Kemp","#",60,,,"#1025/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1038/1","Raymond Kirk","#",73,,,"#1038/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1047/1","George Kitchin","#",61,,,"#1047/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1061/1","Paul Knapman","#",57,,,"#1061/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1067/1","Robert Knecht","#",49,,,"#1067/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1087/1","Amelie Kuhrt","#",81,,,"#1087/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1107/1","Marios Kyriazis","#",66,,,"#1107/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1111/1","Sedat Laciner","#",52,,,"#1111/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1114/1","Andrew Lambert","#",61,,,"#1114/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1116/1","David Lary","#",90,,,"#1116/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1118/1","Daniel Leech-Wilkinson","#",71,,,"#1118/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1126/1","David Linton","#",70,,,"#1126/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1132/1","Michael Levitt","#",69,,,"#1132/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1151/1","Julius J. Lipner","#",51,,,"#1151/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1167/1","Claudio Maccone","#",52,,,"#1167/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1182/1","Donald MacCrimmon MacKay","#",57,,,"#1182/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1191/1","Morell Mackenzie","#",53,,,"#1191/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1197/1","Charles James Martin","#",52,,,"#1197/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1199/1","Maxwell Masters","#",69,,,"#1199/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1216/1","Edward Walter Maunder","#",33,,,"#1216/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1228/1","Alec Merrison","#",75,,,"#1228/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1238/1","William Allen Miller","#",73,,,"#1238/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1256/1","John Milne","#",56,,,"#1256/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1261/1","St. George Jackson Mivart","#",85,,,"#1261/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1267/1","Harold Moody","#",81,,,"#1267/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1283/1","Ludlow Moody","#",46,,,"#1283/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1295/1","Ali Moustafa Mosharafa","#",66,,,"#1295/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1299/1","Noreen Murray","#",81,,,"#1299/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1318/1","Victor Negus","#",88,,,"#1318/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1331/1","Ukichiro Nakaya","#",74,,,"#1331/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1332/1","Robert Walter Campbell Shelford","#",76,,,"#1332/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1340/1","Joseph Shield Nicholson","#",68,,,"#1340/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1357/1","Augustine Ong","#",79,,,"#1357/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1361/1","Daphne Osborne","#",73,,,"#1361/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1369/1","Roger Parker","#",65,,,"#1369/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1381/1","Anthony Pawson","#",76,,,"#1381/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1397/1","Raymond Peters","#",63,,,"#1397/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1399/1","Rohan Pethiyagoda","#",87,,,"#1399/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1416/1","Wendy Piatt","#",77,,,"#1416/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1432/1","Barney Pityana","#",42,,,"#1432/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1451/1","Joseph Pope","#",57,,,"#1451/1"
"2013/4","SEM2","#4CCS1DST",1,"#4CCS1DSTMR1","#002","#1470/1","Bernadette Porter","#",52,,,"#1470/1"
