"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#979/1","Qasim Jan","#",78,,,"#979/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#993/1","Alwyn Jones","#",45,,,"#993/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1006/1","Janet Kear","#",62,,,"#1006/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1025/1","David Kemp","#",67,,,"#1025/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1038/1","Raymond Kirk","#",54,,,"#1038/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1047/1","George Kitchin","#",53,,,"#1047/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1061/1","Paul Knapman","#",49,,,"#1061/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1067/1","Robert Knecht","#",61,,,"#1067/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1087/1","Amelie Kuhrt","#",81,,,"#1087/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1107/1","Marios Kyriazis","#",57,,,"#1107/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1111/1","Sedat Laciner","#",49,,,"#1111/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1114/1","Andrew Lambert","#",53,,,"#1114/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1116/1","David Lary","#",79,,,"#1116/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1118/1","Daniel Leech-Wilkinson","#",66,,,"#1118/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1126/1","David Linton","#",80,,,"#1126/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1132/1","Michael Levitt","#",75,,,"#1132/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1151/1","Julius J. Lipner","#",0,AB,,"#1151/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1167/1","Claudio Maccone","#",38,,,"#1167/1"
"2013/4","SEM2","#4CCS1PEP",1,"#4CCS1PEPMR1","#001","#1182/1","Donald MacCrimmon MacKay","#",64,,,"#1182/1"
