"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#979/1","Qasim Jan","#",60,,,"#979/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#993/1","Alwyn Jones","#",36,,,"#993/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1006/1","Janet Kear","#",72,,,"#1006/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1025/1","David Kemp","#",63,,,"#1025/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1038/1","Raymond Kirk","#",60,,,"#1038/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1047/1","George Kitchin","#",62,,,"#1047/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1061/1","Paul Knapman","#",56,,,"#1061/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1067/1","Robert Knecht","#",62,,,"#1067/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1087/1","Amelie Kuhrt","#",80,,,"#1087/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1107/1","Marios Kyriazis","#",61,,,"#1107/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1111/1","Sedat Laciner","#",0,AB,,"#1111/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1114/1","Andrew Lambert","#",52,,,"#1114/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1116/1","David Lary","#",73,,,"#1116/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1118/1","Daniel Leech-Wilkinson","#",61,,,"#1118/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1126/1","David Linton","#",75,,,"#1126/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1132/1","Michael Levitt","#",61,,,"#1132/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1151/1","Julius J. Lipner","#",42,,,"#1151/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1167/1","Claudio Maccone","#",57,,,"#1167/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1182/1","Donald MacCrimmon MacKay","#",62,,,"#1182/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1191/1","Morell Mackenzie","#",52,,,"#1191/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1197/1","Charles James Martin","#",50,,,"#1197/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1199/1","Maxwell Masters","#",78,,,"#1199/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1216/1","Edward Walter Maunder","#",55,,,"#1216/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1228/1","Alec Merrison","#",78,,,"#1228/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1238/1","William Allen Miller","#",82,,,"#1238/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1256/1","John Milne","#",62,,,"#1256/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1261/1","St. George Jackson Mivart","#",80,,,"#1261/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1267/1","Harold Moody","#",73,,,"#1267/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1283/1","Ludlow Moody","#",59,,,"#1283/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1295/1","Ali Moustafa Mosharafa","#",45,,,"#1295/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1299/1","Noreen Murray","#",77,,,"#1299/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1318/1","Victor Negus","#",92,,,"#1318/1"
"2013/4","SEM1","#4CCS1PRP",1,"#4CCS1PRPMR1","#002","#1331/1","Ukichiro Nakaya","#",66,,,"#1331/1"
