"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#17/1","Theodore Dyke Acland","#",63,,,"#17/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#34/1","Denis Alexander","#",82,,,"#34/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#37/1","John Romilly Allen","#",67,,,"#37/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#48/1","Robert Allison","#",59,,,"#48/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#62/1","Ali Ansari","#",53,,,"#62/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#74/1","Francis Anstie","#",0,AB,,"#74/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#81/1","Norman Ashton","#",0,D,,"#81/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#91/1","Harold Balme","#",52,,,"#91/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#94/1","Kenneth Barker","#",61,,,"#94/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#104/1","Eric Barnard","#",39,,,"#104/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#106/1","Simon Baron-Cohen","#",52,,,"#106/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#113/1","James Barrett","#",52,,,"#113/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#116/1","George Barrow","#",80,,,"#116/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#133/1","Angus John Bateman","#",50,,,"#133/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#144/1","Evan Buchanan Baxter","#",86,,,"#144/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#154/1","Lionel Smith Beale","#",71,,,"#154/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#164/1","Raymond Beazley","#",62,,,"#164/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#169/1","Helen Beebee","#",73,,,"#169/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#178/1","David Bellamy","#",56,,,"#178/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#198/1","Robert Lubbock Bensly","#",49,,,"#198/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#200/1","Robert Bentley","#",64,,,"#200/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#212/1","Dinesh Bhugra","#",51,,,"#212/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#231/1","Jo Boaler","#",59,,,"#231/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#247/1","Brian Bond","#",57,,,"#247/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#262/1","John Eddowes Bowman","#",62,,,"#262/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#277/1","William Bowman","#",0,AB,,"#277/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#280/1","Harry Brighouse","#",84,,,"#280/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#282/1","Peter Brinsden","#",79,,,"#282/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#294/1","Henry William Bristow","#",60,,,"#294/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#300/1","William Brinton","#",67,,,"#300/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#316/1","Hilda Margaret Bruce","#",60,,,"#316/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#333/1","Ronald Burge","#",56,,,"#333/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#336/1","Michael Burgess","#",51,,,"#336/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#354/1","Arthur Coke Burnell","#",70,,,"#354/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#355/1","Elizabeth Burns","#",0,AB,,"#355/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#366/1","Geoffrey Burnstock","#",59,,,"#366/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#376/1","John Cadogan","#",71,,,"#376/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#379/1","Robert Townley Caldwell","#",86,,,"#379/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#393/1","Leigh Canham","#",41,,,"#393/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#399/1","Thomas Cavalier-Smith","#",49,,,"#399/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#419/1","Qui-Lim Choo","#",88,,,"#419/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#423/1","Arthur Herbert Church","#",86,,,"#423/1"
"2013/4","SEM2","#5CCS2OSC",1,"#5CCS2OSCMR1","#002","#435/1","Alfred John Church","#",40,,,"#435/1"
