"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#17/1","Theodore Dyke Acland","#",63,,,"#17/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#34/1","Denis Alexander","#",78,,,"#34/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#37/1","John Romilly Allen","#",67,,,"#37/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#48/1","Robert Allison","#",55,,,"#48/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#62/1","Ali Ansari","#",55,,,"#62/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#74/1","Francis Anstie","#",59,,,"#74/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#81/1","Norman Ashton","#",78,,,"#81/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#91/1","Harold Balme","#",62,,,"#91/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#94/1","Kenneth Barker","#",66,,,"#94/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#104/1","Eric Barnard","#",42,,,"#104/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#106/1","Simon Baron-Cohen","#",57,,,"#106/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#113/1","James Barrett","#",0,AB,,"#113/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#116/1","George Barrow","#",72,,,"#116/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#133/1","Angus John Bateman","#",64,,,"#133/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#144/1","Evan Buchanan Baxter","#",97,,,"#144/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#154/1","Lionel Smith Beale","#",65,,,"#154/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#164/1","Raymond Beazley","#",54,,,"#164/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#169/1","Helen Beebee","#",65,,,"#169/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#178/1","David Bellamy","#",50,,,"#178/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#198/1","Robert Lubbock Bensly","#",0,AB,,"#198/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#200/1","Robert Bentley","#",76,,,"#200/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#212/1","Dinesh Bhugra","#",53,,,"#212/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#231/1","Jo Boaler","#",61,,,"#231/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#247/1","Brian Bond","#",52,,,"#247/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#262/1","John Eddowes Bowman","#",67,,,"#262/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#277/1","William Bowman","#",53,,,"#277/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#280/1","Harry Brighouse","#",72,,,"#280/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#282/1","Peter Brinsden","#",74,,,"#282/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#294/1","Henry William Bristow","#",70,,,"#294/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#300/1","William Brinton","#",57,,,"#300/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#316/1","Hilda Margaret Bruce","#",59,,,"#316/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#333/1","Ronald Burge","#",62,,,"#333/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#336/1","Michael Burgess","#",56,,,"#336/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#354/1","Arthur Coke Burnell","#",62,,,"#354/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#355/1","Elizabeth Burns","#",78,,,"#355/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#366/1","Geoffrey Burnstock","#",57,,,"#366/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#376/1","John Cadogan","#",72,,,"#376/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#379/1","Robert Townley Caldwell","#",75,,,"#379/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#393/1","Leigh Canham","#",0,AB,,"#393/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#399/1","Thomas Cavalier-Smith","#",45,,,"#399/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#419/1","Qui-Lim Choo","#",79,,,"#419/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#423/1","Arthur Herbert Church","#",88,,,"#423/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#435/1","Alfred John Church","#",45,,,"#435/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#452/1","Suzannah Clark","#",74,,,"#452/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#467/1","Jill Macleod Clark","#",73,,,"#467/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#476/1","Alexander Coker","#",56,,,"#476/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#482/1","Edgar Crookshank","#",58,,,"#482/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#495/1","Charles Frederick Cross","#",79,,,"#495/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#497/1","William Broughton Davies","#",77,,,"#497/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#516/1","Howard Dalton","#",0,AB,,"#516/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#524/1","Brian Davies","#",87,,,"#524/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#527/1","Richard MacGillivray Dawkins","#",75,,,"#527/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#535/1","John Leonard Dawson","#",48,,,"#535/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#547/1","George Deacon","#",80,,,"#547/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#562/1","Michael Denton","#",78,,,"#562/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#565/1","Kenneth Dike","#",0,AB,,"#565/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#567/1","Richard Dixon","#",71,,,"#567/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#577/1","Richard Doll","#",63,,,"#577/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#587/1","Arthur Duckham","#",60,,,"#587/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#594/1","Peter Martin Duncan","#",69,,,"#594/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#610/1","Victor Dzau","#",0,AB,,"#610/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#616/1","R. John Ellis","#",75,,,"#616/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#623/1","Andrew Fabian","#",72,,,"#623/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#642/1","Ayodele Falase","#",55,,,"#642/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#660/1","Frank Farmer","#",69,,,"#660/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#661/1","Henry John Horstman Fenton","#",64,,,"#661/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#663/1","Michael Fisher","#",57,,,"#663/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#666/1","Katherine Elizabeth Fleming","#",68,,,"#666/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#672/1","Ian Gainsford","#",67,,,"#672/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#687/1","Francis Galton","#",57,,,"#687/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#707/1","Francisco Javier Carrillo Gamboa","#",84,,,"#707/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#724/1","Alfred Henry Garrod","#",52,,,"#724/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#725/1","Abraham Pineo Gesner","#",85,,,"#725/1"
"2013/4","SEM1","#5CCS2OSD",1,"#5CCS2OSDMR1","#002","#726/1","Malcolm Gillies","#",65,,,"#726/1"
