"Year","Period","#Module","Occ","#Map","#Ass#","#Cand Key","Name","#CD","Mark","Grade","CD","#Cand Key"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#17/1","Theodore Dyke Acland","#",65,,,"#17/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#34/1","Denis Alexander","#",82,,,"#34/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#37/1","John Romilly Allen","#",60,,,"#37/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#48/1","Robert Allison","#",53,,,"#48/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#62/1","Ali Ansari","#",60,,,"#62/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#74/1","Francis Anstie","#",52,,,"#74/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#81/1","Norman Ashton","#",75,,,"#81/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#91/1","Harold Balme","#",60,,,"#91/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#94/1","Kenneth Barker","#",64,,,"#94/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#104/1","Eric Barnard","#",26,,,"#104/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#106/1","Simon Baron-Cohen","#",47,,,"#106/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#113/1","James Barrett","#",56,,,"#113/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#116/1","George Barrow","#",82,,,"#116/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#133/1","Angus John Bateman","#",55,,,"#133/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#144/1","Evan Buchanan Baxter","#",81,,,"#144/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#154/1","Lionel Smith Beale","#",71,,,"#154/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#164/1","Raymond Beazley","#",62,,,"#164/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#169/1","Helen Beebee","#",78,,,"#169/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#178/1","David Bellamy","#",60,,,"#178/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#198/1","Robert Lubbock Bensly","#",42,,,"#198/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#200/1","Robert Bentley","#",67,,,"#200/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#212/1","Dinesh Bhugra","#",50,,,"#212/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#231/1","Jo Boaler","#",55,,,"#231/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#247/1","Brian Bond","#",52,,,"#247/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#262/1","John Eddowes Bowman","#",64,,,"#262/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#277/1","William Bowman","#",54,,,"#277/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#280/1","Harry Brighouse","#",76,,,"#280/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#282/1","Peter Brinsden","#",65,,,"#282/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#294/1","Henry William Bristow","#",61,,,"#294/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#300/1","William Brinton","#",73,,,"#300/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#316/1","Hilda Margaret Bruce","#",60,,,"#316/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#333/1","Ronald Burge","#",62,,,"#333/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#336/1","Michael Burgess","#",44,,,"#336/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#354/1","Arthur Coke Burnell","#",73,,,"#354/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#355/1","Elizabeth Burns","#",90,,,"#355/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#366/1","Geoffrey Burnstock","#",49,,,"#366/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#376/1","John Cadogan","#",66,,,"#376/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#379/1","Robert Townley Caldwell","#",86,,,"#379/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#393/1","Leigh Canham","#",56,,,"#393/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#399/1","Thomas Cavalier-Smith","#",46,,,"#399/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#419/1","Qui-Lim Choo","#",89,,,"#419/1"
"2013/4","SY","#5CCS2SEG",1,"#5CCS2SEGM","#001","#423/1","Arthur Herbert Church","#",83,,,"#423/1"
